Interval=	0,01 s
ExcelDateTime=	4,2528612356187317e+004	07.06.2016 14:41:47,574584
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2
Range=	20,000 mV
3,52	-0,039
3,53	-0,266
3,54	-0,453
3,55	-0,597
3,56	-0,712
3,57	-0,811
3,58	-0,888
3,59	-0,948
3,6	-1,013
3,61	-1,078
3,62	-1,117
3,63	-1,141
3,64	-1,147
3,65	-1,117
3,66	-1,072
3,67	-1,013
3,68	-0,941
3,69	-0,857
3,7	-0,729
3,71	-0,553
3,72	-0,383
3,73	-0,256
3,74	-0,188
3,75	-0,156
3,76	-0,115
3,77	-0,066
3,78	-0,033
3,79	-0,064
3,8	-0,188
3,81	-0,323
3,82	-0,389
3,83	-0,401
3,84	-0,432
3,85	-0,522
3,86	-0,634
3,87	-0,721
3,88	-0,778
3,89	-0,818
3,9	-0,848
3,91	-0,869
3,92	-0,873
3,93	-0,871
3,94	-0,878
3,95	-0,878
3,96	-0,856
3,97	-0,826
3,98	-0,804
3,99	-0,792
4	-0,776
4,01	-0,743
4,02	-0,713
4,03	-0,711
4,04	-0,718
4,05	-0,676
4,06	-0,591
4,07	-0,544
4,08	-0,566
4,09	-0,605
4,1	-0,626
4,11	-0,635
4,12	-0,637
4,13	-0,629
4,14	-0,613
4,15	-0,588
4,16	-0,539
4,17	-0,461
4,18	-0,355
4,19	-0,158
4,2	0,168
4,21	0,546
4,22	0,894
4,23	1,169
4,24	1,308
4,25	1,276
4,26	1,136
4,27	0,978
4,28	0,811
4,29	0,614
4,3	0,382
4,31	0,115
4,32	-0,162
4,33	-0,401
4,34	-0,584
4,35	-0,705
4,36	-0,776
4,37	-0,836
4,38	-0,906
4,39	-0,988
4,4	-1,071
4,41	-1,131
4,42	-1,163
4,43	-1,164
4,44	-1,153
4,45	-1,148
4,46	-1,125
4,47	-1,053
4,48	-0,929
4,49	-0,772
4,5	-0,609
4,51	-0,468
4,52	-0,354
4,53	-0,253
4,54	-0,168
4,55	-0,096
4,56	-0,039
4,57	-0,042
4,58	-0,109
4,59	-0,188
4,6	-0,259
4,61	-0,351
4,62	-0,451
4,63	-0,519
4,64	-0,558
4,65	-0,593
4,66	-0,656
4,67	-0,746
4,68	-0,802
4,69	-0,816
4,7	-0,834
4,71	-0,869
4,72	-0,895
4,73	-0,896
4,74	-0,873
4,75	-0,845
4,76	-0,816
4,77	-0,788
4,78	-0,777
4,79	-0,784
4,8	-0,787
4,81	-0,773
4,82	-0,756
4,83	-0,746
4,84	-0,723
4,85	-0,669
4,86	-0,602
4,87	-0,578
4,88	-0,619
4,89	-0,675
4,9	-0,695
4,91	-0,678
4,92	-0,626
4,93	-0,527
4,94	-0,386
4,95	-0,194
4,96	0,091
4,97	0,496
4,98	0,929
4,99	1,229
5	1,343
5,01	1,331
5,02	1,252
5,03	1,126
5,04	0,951
5,05	0,735
5,06	0,479
5,07	0,192
5,08	-0,081
5,09	-0,297
5,1	-0,484
5,11	-0,671
5,12	-0,797
5,13	-0,818
5,14	-0,828
5,15	-0,931
5,16	-1,076
5,17	-1,143
5,18	-1,140
5,19	-1,154
5,2	-1,159
5,21	-1,119
5,22	-1,074
5,23	-1,026
5,24	-0,959
5,25	-0,855
5,26	-0,696
5,27	-0,516
5,28	-0,371
5,29	-0,248
5,3	-0,141
5,31	-0,079
5,32	-0,054
5,33	-0,065
5,34	-0,114
5,35	-0,169
5,36	-0,224
5,37	-0,302
5,38	-0,389
5,39	-0,456
5,4	-0,505
5,41	-0,566
5,42	-0,644
5,43	-0,724
5,44	-0,809
5,45	-0,890
5,46	-0,922
5,47	-0,889
5,48	-0,841
5,49	-0,830
5,5	-0,819
5,51	-0,807
5,52	-0,861
5,53	-0,935
5,54	-0,920
5,55	-0,833
5,56	-0,771
5,57	-0,758
5,58	-0,756
5,59	-0,764
5,6	-0,781
5,61	-0,761
5,62	-0,684
5,63	-0,606
5,64	-0,603
5,65	-0,665
5,66	-0,729
