Interval=	0,01 s
ExcelDateTime=	4,1795674607928238e+004	05.06.2014 16:11:26,125
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	20,000 mV
3,71	-1,200
3,72	-1,216
3,73	-1,234
3,74	-1,255
3,75	-1,273
3,76	-1,284
3,77	-1,289
3,78	-1,283
3,79	-1,273
3,8	-1,269
3,81	-1,268
3,82	-1,260
3,83	-1,248
3,84	-1,235
3,85	-1,216
3,86	-1,178
3,87	-1,118
3,88	-1,027
3,89	-0,905
3,9	-0,761
3,91	-0,601
3,92	-0,431
3,93	-0,252
3,94	-0,069
3,95	0,122
3,96	0,323
3,97	0,525
3,98	0,722
3,99	0,911
4,0	1,087
4,01	1,249
4,02	1,399
4,03	1,546
4,04	1,694
4,05	1,846
4,06	1,998
4,07	2,147
4,08	2,291
4,09	2,427
4,1	2,559
4,11	2,690
4,12	2,821
4,13	2,948
4,14	3,076
4,15	3,206
4,16	3,331
4,17	3,453
4,18	3,576
4,19	3,699
4,2	3,817
4,21	3,929
4,22	4,037
4,23	4,143
4,24	4,244
4,25	4,343
4,26	4,439
4,27	4,532
4,28	4,623
4,29	4,708
4,3	4,784
4,31	4,852
4,32	4,908
4,33	4,954
4,34	4,993
4,35	5,023
4,36	5,042
4,37	5,048
4,38	5,041
4,39	5,026
4,4	5,003
4,41	4,974
4,42	4,944
4,43	4,913
4,44	4,880
4,45	4,848
4,46	4,814
4,47	4,780
4,48	4,744
4,49	4,708
4,5	4,669
4,51	4,626
4,52	4,582
4,53	4,536
4,54	4,480
4,55	4,408
4,56	4,311
4,57	4,192
4,58	4,062
4,59	3,924
4,6	3,780
4,61	3,633
4,62	3,482
4,63	3,334
4,64	3,192
4,65	3,056
4,66	2,928
4,67	2,803
4,68	2,678
4,69	2,552
4,7	2,425
4,71	2,293
4,72	2,157
4,73	2,022
4,74	1,891
4,75	1,766
4,76	1,645
4,77	1,526
4,78	1,406
4,79	1,285
4,8	1,168
4,81	1,058
4,82	0,953
4,83	0,855
4,84	0,766
4,85	0,677
4,86	0,583
4,87	0,488
4,88	0,392
4,89	0,295
4,9	0,199
4,91	0,108
4,92	0,019
4,93	-0,065
4,94	-0,146
4,95	-0,225
4,96	-0,302
4,97	-0,376
4,98	-0,446
4,99	-0,510
5,0	-0,569
5,01	-0,624
5,02	-0,677
5,03	-0,729
5,04	-0,777
5,05	-0,823
5,06	-0,866
5,07	-0,906
5,08	-0,943
5,09	-0,980
5,1	-1,017
5,11	-1,053
5,12	-1,085
5,13	-1,113
5,14	-1,134
5,15	-1,149
5,16	-1,159
5,17	-1,163
5,18	-1,164
5,19	-1,161
5,2	-1,154
5,21	-1,146
5,22	-1,139
5,23	-1,134
5,24	-1,125
5,25	-1,112
5,26	-1,103
5,27	-1,103
5,28	-1,103
5,29	-1,087
5,3	-1,053
